Ref,Campus ID,Preferred ,Last,Suffix,Sex,Hispanic,Hispanic Origin,Race,Primary Ethnicity,Phone ,Street,City,State,Zip,Country,App Center,Standing,First Gen,Legacy,Faculty Child,Tuition Remission,Submitted Date,Admit Flag,Non Admit Flag,Cancel Flag,Complete Date,Admit Date,Deny Date,Cancel Date,Deposit Date,Entry Term App,Applied to College,Admitted to College,Admitted to Major,Current Bin Name,Admit Reason,Deny Reason,Cancel Reason,School,CEEB,School City,School State,MU Feeder,Test Optional,Raw GPA,Recalc GPA,GPA Scale,GPA Type,Rigor,Essay,ACT Equivalent,Blue and Gold,Category,Cristo Rey,Jesuit,Organization Flag,Type,Staff Assigned,Physical Therapy Status,Athletic Training Status,Sport,FACHEX,Tuition Exchange,Honors,EOP,Twin,Campus Visit,Undocumented,Merit Award,ONE Created Date,ONE Submitted Date
209976657,006266074,,,,F,No,,Asian,Asian,,,,IL,60542-2049,United States,UGRD,Freshman,No,,None,,11/1/2022,,,,,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,To Be Entered TOPT FRE,,,,Aurora Central Catholic High School,140175,Aurora,IL,,Yes,,,,,,,,,High School,,,,Catholic,,,,,,,,,No,,,,,
475530579,006266056,,,,M,No,,White,White,,,,MN,55447-2237,United States,UGRD,Freshman,No,,None,,11/1/2022,,,,,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,To Be Entered TOPT FRE,,,,Benilde-St Margaret's School,242202,St Louis Park,MN,Y,Yes,,,,,,,,Gold,High School,,,,Catholic,,,,,,,,,No,,,,,
812379363,006261368,,,,F,No,,White,White,,,,IN,46383-4474,United States,UGRD,Freshman,No,,None,,10/20/2022,,,,10/24/2022,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,Health Sciences,,,,Valparaiso High School,153565,Valparaiso,IN,,No,4.39,4,4,Weighted,,,26,,High School,,,,Public,,,,,,,,,No,Yes,,,,
131507307,006258156,,,,M,Yes,,White,Hispanic,,,,IL,60045-2009,United States,UGRD,Freshman,No,,None,,9/28/2022,,,,10/4/2022,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,Admit FRE,,,,Lake Forest High School,142520,Lake Forest,IL,,Yes,3.46,3.46,4,Unweighted,4,2,,,High School,,,,Public,,,,,,,,,No,Yes,,,,
383647024,006258736,,,,M,No,,White,White,,,,NY,14618-3724,United States,UGRD,Freshman,No,,None,,10/4/2022,,,,10/6/2022,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,Admit FRE,,,,McQuaid Jesuit High School,334830,Rochester,NY,Y,Yes,93.8,3.8,100,Weighted,5,3,,,High School,,"Yes, is a Jesuit School",,Catholic,,,,,,,,,No,Yes,,,,
527379905,006262576,,,,F,No,,AsianWhite,Asian,,,,IL,60025-1479,United States,UGRD,Freshman,No,,None,,10/25/2022,,,,10/26/2022,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,Admit FRE,,,,Glenbrook South High School,142078,Glenview,IL,Y,No,3.35,3.35,4,Unweighted,4,3,29,Gold,High School,,,,Public,,,,,,,,,No,,,,,
351383833,006260313,,,,F,No,,Black or African AmericanWhite,Black or African American,,,,IL,60185-4316,United States,UGRD,Freshman,Yes,,None,,10/15/2022,,,,10/18/2022,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,Maybe?,,,,West Chicago High School,144350,West Chicago,IL,,Yes,4.45,3.45,5,Weighted,3,2,,,High School,,,,Public,,,,,,,,,No,,,,,
880287039,006260162,,,,F,No,,White,White,,,,WI,53221-2839,United States,UGRD,Freshman,No,,None,,10/14/2022,,,,10/26/2022,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,On-Site FRE,,,,Ronald Reagan College Prep High School,501348,Milwaukee,WI,Y,Yes,3.31,3.31,4,Unweighted,,,,Gold,High School,,,MPS,Public,,,,,,,,,No,,,,,
614666613,006260307,,,,F,No,,WhiteWhite - Middle East,White,,,,WI,53154-8519,United States,UGRD,Freshman,No,,None,,10/15/2022,,,,,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,App Received FRE,,,,Salam School,501349,Milwaukee,WI,Y,Yes,,,,,,,,Gold,High School,,,,Independent,,,,,,,,,No,Yes,,,,
867605382,006262916,,,,F,No,,White,White,,,,WI,53221-4534,United States,UGRD,Freshman,Yes,,None,,10/26/2022,,,,10/31/2022,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,Arts & Sciences,,,,Greenfield High School,501359,Greenfield,WI,Y,Yes,3.21,3.21,4,Unweighted,,,,Gold,High School,,,,Public,,,,,,,,,No,,,,,
393766595,006263633,,,,M,No,,WhiteWhite - Middle East,White,,,,WI,53221-4958,United States,UGRD,Freshman,Yes,BrotherSister,None,,10/29/2022,,,,,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,App Received FRE,,,,Salam School,501349,Milwaukee,WI,Y,No,,,,,,,23,Gold,High School,,,,Independent,,,,,,,,,No,Yes,,,,
